Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-7343-31_Kemet-D_HandSolder,1,100µF 10V,C16133
"C10, C11, C13, C16, C7",Capacitor_0402,5,100nF,C307331
"C12, C17",Capacitor_0402,2,4.7uF,C23733
C14,Capacitor_0402,1,10nF,C15195
"C15, C8, C9",Capacitor_0402,3,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D19, D2, D22, D23, D24, D25, D3, D34, D4, D5, D6, D7, D9",Diode_SOD-123,22,Diode,C2128
"D18, D20, D21, D26, D27, D28, D29, D30, D31, D32, D33, D8",LED_WS2812B,12,LED_WS2812B,C292004
F1,Fuse_0603,1,500mA,C210357
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C,C165948
R1,Resistor_0402,1,10k,C25744
"R2, R3",Resistor_0402,2,5.1k,C25905
R4,Resistor_0805,1,330R,C23138
S1,SW_MX_HS_CPG151101S11_1u,1,Keyswitch,
"S10, S11, S13, S14, S15, S19, S2, S22, S23, S24, S25, S3, S4, S5, S6, S7, S9",SW_MX_HS_CPG151101S11_1u,17,Keyswitch,CPG151101S11-16
"S12, S16, S17",SW_MX_HS_CPG151101S11_1.5u,3,Keyswitch,CPG151101S11-16
SW1,Button_TL3342,1,SW_Push,C115351
SW2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,
U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F072CBT6,C81720
U3,Voltage_SOT-23,1,XC6206,C5446
U4,ESD_SOT-23-6,1,USBLC6-2SC6,C2827654
